t_sec,q,w,o,p
4.08333,0,1,0,0
4.10000,0,1,0,0
4.11667,0,1,0,0
4.13333,0,1,0,0
4.15000,0,1,0,0
4.16667,0,1,0,0
4.18333,0,1,0,0
4.20000,0,1,0,0
4.21667,0,1,0,0
4.23333,0,1,0,0
4.25000,0,1,0,0
4.26667,0,1,0,0
4.28333,0,1,0,0
4.30000,0,1,0,0
4.31667,0,0,0,0
4.33333,0,0,0,0
4.35000,0,0,0,0
4.36667,0,0,0,0
4.38333,0,0,0,0
4.40000,0,0,0,0
4.41667,0,0,0,0
4.43333,0,0,0,0
4.45000,0,0,0,0
4.46667,0,0,0,0
4.48333,0,0,0,0
4.50000,0,0,0,0
4.51667,0,0,0,0
4.53333,0,0,0,0
4.55000,0,0,0,0
4.56667,0,0,0,0
4.58333,0,0,0,0
4.60000,0,0,0,0
4.61667,0,0,0,0
4.63333,0,0,0,0
4.65000,0,0,0,0
4.66667,0,0,0,0
4.68333,0,0,0,0
4.70000,0,0,0,0
4.71667,1,0,0,0
4.73333,1,0,0,0
4.75000,1,0,0,1
4.76667,1,0,0,1
4.78333,1,0,0,1
4.80000,1,0,0,1
4.81667,1,0,0,1
4.83333,1,0,0,1
4.85000,1,0,0,0
4.86667,1,0,0,0
4.88333,1,0,0,0
4.90000,1,0,0,0
4.91667,1,0,0,0
4.93333,1,0,0,0
4.95000,1,0,0,0
4.96667,1,0,0,0
4.98333,1,0,0,0
5.00000,1,0,0,0
5.01667,1,0,0,0
5.03333,1,0,0,0
5.05000,1,0,0,0
5.06667,1,0,0,0
5.08333,1,0,0,0
5.10000,1,0,0,0
5.11667,1,0,0,0
5.13333,1,0,0,0
5.15000,1,0,0,0
5.16667,1,0,0,0
5.18333,1,0,0,0
5.20000,1,0,0,0
5.21667,1,0,0,0
5.23333,1,0,0,0
5.25000,1,0,0,0
5.26667,1,0,0,0
5.28333,1,0,0,0
5.30000,1,0,0,0
5.31667,1,0,0,0
5.33333,1,0,0,0
5.35000,1,0,0,0
5.36667,1,0,0,0
5.38333,1,0,0,1
5.40000,1,0,0,1
5.41667,1,0,0,1
5.43333,1,0,0,1
5.45000,1,0,0,1
5.46667,1,0,0,1
5.48333,1,0,0,1
5.50000,1,0,0,1
5.51667,0,0,0,1
5.53333,0,0,0,1
5.55000,0,0,0,1
5.56667,0,0,0,1
5.58333,0,0,0,0
5.60000,0,0,0,0
5.61667,0,0,0,0
5.63333,0,0,0,0
5.65000,0,0,0,0
5.66667,0,0,0,0
5.68333,0,0,0,0
